file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724375.fastq.gz	FASTQ	DNA	517406	1325053299	68	2561.0	141032	436	931	2407	0	7121	17672	71	47	14.33	45.86	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724388.fastq.gz	FASTQ	DNA	411108	1083190382	66	2634.8	186152	382	824	2180	0	8804	16086	70	45	14.34	44.50	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724678_1.fastq.gz	FASTQ	DNA	29723290	4458493500	150	150.0	150	150	150	150	0	150	1	98	94	26.62	54.88	199379
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724678_2.fastq.gz	FASTQ	DNA	29723290	4458493500	150	150.0	150	150	150	150	0	150	1	97	92	25.65	56.05	35377
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326084_1.fastq.gz	FASTQ	DNA	4098054	1028611554	251	251.0	251	251	251	251	0	251	1	94	87	22.87	45.19	72227
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326084_2.fastq.gz	FASTQ	DNA	4098054	1028611554	251	251.0	251	251	251	251	0	251	1	93	85	22.02	45.71	55869
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724677_1.fastq.gz	FASTQ	DNA	31177528	4676629200	150	150.0	150	150	150	150	0	150	1	98	94	26.68	55.25	173036
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724677_2.fastq.gz	FASTQ	DNA	31177528	4676629200	150	150.0	150	150	150	150	0	150	1	97	93	26.35	55.86	32151
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724681_1.fastq.gz	FASTQ	DNA	31106719	4666007850	150	150.0	150	150	150	150	0	150	1	98	94	26.57	52.66	224308
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724681_2.fastq.gz	FASTQ	DNA	31106719	4666007850	150	150.0	150	150	150	150	0	150	1	97	92	25.55	53.71	26592
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724679_1.fastq.gz	FASTQ	DNA	32485277	4872791550	150	150.0	150	150	150	150	0	150	1	98	94	26.74	54.79	214823
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724680_1.fastq.gz	FASTQ	DNA	31999950	4799992500	150	150.0	150	150	150	150	0	150	1	98	94	26.75	53.29	224404
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724679_2.fastq.gz	FASTQ	DNA	32485277	4872791550	150	150.0	150	150	150	150	0	150	1	97	93	25.78	55.94	34087
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724680_2.fastq.gz	FASTQ	DNA	31999950	4799992500	150	150.0	150	150	150	150	0	150	1	97	92	25.61	54.28	31691
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326085_1.fastq.gz	FASTQ	DNA	4192164	1052233164	251	251.0	251	251	251	251	0	251	1	94	88	22.99	45.66	75314
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326085_2.fastq.gz	FASTQ	DNA	4192164	1052233164	251	251.0	251	251	251	251	0	251	1	93	85	22.10	46.14	57137
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724682_1.fastq.gz	FASTQ	DNA	30880188	4632028200	150	150.0	150	150	150	150	0	150	1	98	94	26.61	53.36	205245
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724682_2.fastq.gz	FASTQ	DNA	30880188	4632028200	150	150.0	150	150	150	150	0	150	1	97	92	25.49	54.37	37163
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724367.fastq.gz	FASTQ	DNA	476490	639080669	65	1341.2	120831	380	701	1412	0	2377	11148	70	47	13.47	44.49	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724361.fastq.gz	FASTQ	DNA	802692	1185940152	69	1477.5	168173	366	685	1452	0	3021	15574	71	48	13.84	44.08	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724365.fastq.gz	FASTQ	DNA	622269	837212828	71	1345.4	190274	370	685	1417	0	2471	12290	70	48	13.60	44.90	0
