dataset	sample	engine	source	output	output_rows
Amaranthus_palmeri_longread	SRR16958686	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958686.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958686/SRR16958686.eccfinder.filtered.bed	1651
Amaranthus_palmeri_longread	SRR16958687	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958687.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958687/SRR16958687.cresil.filtered.bed	24
Amaranthus_palmeri_longread	SRR16958687	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958687.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958687/SRR16958687.fled.filtered.bed	4
Amaranthus_palmeri_longread	SRR16958687	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958687.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958687/SRR16958687.eccfinder.filtered.bed	957
Amaranthus_palmeri_longread	SRR16958688	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958688.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958688/SRR16958688.cresil.filtered.bed	23
Amaranthus_palmeri_longread	SRR16958688	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958688.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958688/SRR16958688.fled.filtered.bed	20
Amaranthus_palmeri_longread	SRR16958688	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958688.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958688/SRR16958688.eccfinder.filtered.bed	795
Amaranthus_palmeri_longread	SRR16958689	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958689.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958689/SRR16958689.cresil.filtered.bed	4
Amaranthus_palmeri_longread	SRR16958689	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958689.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958689/SRR16958689.fled.filtered.bed	1
Amaranthus_palmeri_longread	SRR16958689	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958689.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958689/SRR16958689.eccfinder.filtered.bed	655
