task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
131	55/3bc76b	13941	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR6326000)	COMPLETED	0	2026-09-19 06:56:12.076	5s	4s	171.2%	4.6 MB	18.2 MB	110 MB	39.1 MB
144	41/95bb79	14520	SAMBLASTER_FIXED (ERR9968690)	COMPLETED	0	2026-09-19 06:56:17.101	34s	33s	180.4%	43.1 MB	59.6 MB	3.1 GB	3.1 GB
138	97/933cc0	16789	SAMBLASTER_FIXED (ERR6559223)	COMPLETED	0	2026-09-19 06:56:51.077	9s	8s	166.0%	10.9 MB	27.4 MB	738.9 MB	738.7 MB
161	72/fcc469	17978	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163232)	COMPLETED	0	2026-09-19 06:57:00.118	5m 2s	5m 1s	193.0%	4.7 MB	18.2 MB	7.2 GB	4.7 GB
162	c8/5c43fc	29093	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163233)	COMPLETED	0	2026-09-19 07:02:02.272	4m 6s	4m 5s	189.0%	4.7 MB	18.2 MB	5.9 GB	3.9 GB
83	f1/7ab4ad	10010	SAMTOOLS_SORT_QNAME_CF (ERR12389807)	COMPLETED	0	2026-09-19 06:55:44.062	12m 15s	12m 14s	750.5%	6.8 GB	9.3 GB	72.1 GB	85.8 GB
170	b5/d2695e	41347	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163237)	COMPLETED	0	2026-09-19 07:07:59.548	3m 28s	3m 27s	128.5%	4.7 MB	18.2 MB	3.7 GB	358.1 MB
168	55/3ffa1c	37626	SAMBLASTER_FIXED (SRR10163236)	COMPLETED	0	2026-09-19 07:06:08.018	7m 2s	7m	186.0%	24.1 MB	40.6 MB	50.6 GB	50.6 GB
147	40/307ad1	57561	SAMBLASTER_FIXED (ERR9968691)	COMPLETED	0	2026-09-19 07:13:10.142	31.9s	31s	189.4%	24.6 MB	41.1 MB	3 GB	3 GB
151	3e/9a6da6	59861	SAMBLASTER_FIXED (ERR9968693)	COMPLETED	0	2026-09-19 07:13:42.068	37.8s	37s	191.4%	41.9 MB	58.4 MB	3.6 GB	3.6 GB
146	3e/501363	62493	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR9968691)	COMPLETED	0	2026-09-19 07:14:19.847	18.1s	17s	181.7%	4.7 MB	18.2 MB	552.3 MB	265.3 MB
175	08/e3e2b9	52332	SAMBLASTER_FIXED (SRR10163239)	COMPLETED	0	2026-09-19 07:11:27.536	7m 29s	7m 27s	205.8%	309.6 MB	326.2 MB	51.7 GB	51.7 GB
181	6a/ce7347	76311	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335745)	COMPLETED	0	2026-09-19 07:18:56.579	23.1s	21s	178.9%	4.7 MB	18.2 MB	651.8 MB	308.7 MB
196	a8/179706	78165	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335768)	COMPLETED	0	2026-09-19 07:19:19.647	26.9s	26s	181.2%	4.7 MB	18.2 MB	758.7 MB	386.5 MB
153	1e/568685	63970	SAMBLASTER_FIXED (SRR10163228)	COMPLETED	0	2026-09-19 07:14:37.938	7m 23s	7m 21s	202.4%	309.3 MB	325.7 MB	49.5 GB	49.5 GB
178	21/fd8a9e	87750	SAMBLASTER_FIXED (SRR24335744)	COMPLETED	0	2026-09-19 07:22:00.793	40.8s	39s	181.6%	41.9 MB	58.4 MB	3.6 GB	3.6 GB
197	1c/23b480	90725	SAMBLASTER_FIXED (SRR24335768)	COMPLETED	0	2026-09-19 07:22:41.599	46.5s	45s	189.5%	41.4 MB	57.9 MB	4.4 GB	4.4 GB
156	5a/2f4941	93960	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163230)	COMPLETED	0	2026-09-19 07:23:28.108	4m 46s	4m 44s	194.2%	4.7 MB	18.2 MB	7.3 GB	5.2 GB
148	3e/f98d29	105698	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR9968692)	COMPLETED	0	2026-09-19 07:28:13.876	20.9s	20s	179.7%	4.7 MB	18.2 MB	648.5 MB	302.5 MB
182	d1/0dc766	107283	SAMBLASTER_FIXED (SRR24335746)	COMPLETED	0	2026-09-19 07:28:34.796	14.4s	13s	187.9%	23.7 MB	40.1 MB	1.5 GB	1.5 GB
183	55/f34517	108928	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335746)	COMPLETED	0	2026-09-19 07:28:49.179	9.7s	9s	187.1%	4.6 MB	18.2 MB	237 MB	137.9 MB
172	97/626e3b	80152	SAMBLASTER_FIXED (SRR10163238)	COMPLETED	0	2026-09-19 07:19:46.548	9m 31s	9m 29s	208.2%	308.8 MB	327.1 MB	62.9 GB	62.8 GB
190	ab/bb22ce	111760	SAMBLASTER_FIXED (SRR24335763)	COMPLETED	0	2026-09-19 07:29:17.666	12.7s	11s	200.8%	15.5 MB	32 MB	1.4 GB	1.4 GB
188	18/28ea92	109895	SAMBLASTER_FIXED (SRR24335752)	COMPLETED	0	2026-09-19 07:28:58.930	39s	38s	185.4%	42 MB	58.4 MB	3.6 GB	3.6 GB
128	5d/a0f508	114256	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830501)	COMPLETED	0	2026-09-19 07:29:37.895	5s	4s	168.7%	4.6 MB	18.2 MB	134.4 MB	50.6 MB
129	cb/cab641	115080	SAMBLASTER_FIXED (ERR1830501)	COMPLETED	0	2026-09-19 07:29:42.902	7.8s	7s	192.9%	11.1 MB	27.7 MB	722.1 MB	721.8 MB
180	5d/a41049	116069	SAMBLASTER_FIXED (SRR24335745)	COMPLETED	0	2026-09-19 07:29:50.684	36.9s	36s	189.0%	41.6 MB	58.2 MB	3.5 GB	3.5 GB
152	dc/6293c6	113301	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163228)	COMPLETED	0	2026-09-19 07:29:30.390	4m 17s	4m 16s	190.5%	4.7 MB	18.2 MB	6.6 GB	4.3 GB
165	0e/2bb7a6	118447	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163234)	COMPLETED	0	2026-09-19 07:30:27.619	3m 25s	3m 23s	121.4%	4.7 MB	18.2 MB	3.4 GB	260 MB
137	92/d83440	126084	SAMBLASTER_FIXED (ERR6326077)	COMPLETED	0	2026-09-19 07:33:47.369	14.8s	14s	189.3%	15.8 MB	32.2 MB	1.3 GB	1.3 GB
133	f5/55456a	128591	SAMBLASTER_FIXED (ERR6326075)	COMPLETED	0	2026-09-19 07:34:02.218	11.5s	11s	184.9%	15.5 MB	31.9 MB	1 GB	1 GB
149	86/c1292a	130268	SAMBLASTER_FIXED (ERR9968692)	COMPLETED	0	2026-09-19 07:34:13.676	37.4s	36s	189.8%	41.8 MB	58.2 MB	3.5 GB	3.5 GB
199	0b/9b52e4	2599	SAMBLASTER_FIXED (SRR24335769)	COMPLETED	0	2026-09-19 07:34:51.048	59.9s	59s	191.1%	75.2 MB	91.5 MB	5.9 GB	5.9 GB
142	4a/e4c29a	9564	SAMBLASTER_FIXED (ERR9968689)	COMPLETED	0	2026-09-19 07:35:50.978	39.4s	39s	187.3%	41.9 MB	58.4 MB	3.6 GB	3.6 GB
169	ad/f45fa4	12418	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163236)	COMPLETED	0	2026-09-19 07:36:30.429	3m 37s	3m 37s	125.0%	4.7 MB	18.2 MB	3.8 GB	335.1 MB
171	92/7f6694	126769	SAMBLASTER_FIXED (SRR10163237)	COMPLETED	0	2026-09-19 07:33:52.187	6m 48s	6m 47s	186.8%	15.7 MB	32.3 MB	48.9 GB	48.9 GB
141	65/2ae366	22296	SAMBLASTER_FIXED (ERR9968613)	COMPLETED	0	2026-09-19 07:40:07.524	39.8s	38s	185.9%	41.9 MB	58.4 MB	3.7 GB	3.7 GB
164	a3/43897b	24777	SAMBLASTER_FIXED (SRR10163234)	COMPLETED	0	2026-09-19 07:40:40.318	6m 55s	6m 54s	181.6%	15.3 MB	31.9 MB	48.4 GB	48.4 GB
160	06/d91ca5	25710	SAMBLASTER_FIXED (SRR10163232)	COMPLETED	0	2026-09-19 07:40:47.316	8m 4s	8m 3s	208.2%	303.9 MB	323.1 MB	54.8 GB	54.8 GB
185	26/5cb5c1	48711	SAMBLASTER_FIXED (SRR24335747)	COMPLETED	0	2026-09-19 07:48:51.519	32.8s	31s	188.4%	25.6 MB	42.2 MB	3.1 GB	3.1 GB
139	0c/cf29b8	50871	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR6559223)	COMPLETED	0	2026-09-19 07:49:24.342	5s	3s	165.0%	4.6 MB	18.2 MB	110 MB	39.1 MB
145	26/ec1679	51450	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR9968690)	COMPLETED	0	2026-09-19 07:49:29.316	18.5s	18s	190.9%	4.7 MB	18.2 MB	574.4 MB	268.6 MB
150	67/25313d	52956	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR9968693)	COMPLETED	0	2026-09-19 07:49:47.775	21.5s	20s	192.7%	4.7 MB	18.2 MB	669.4 MB	322.2 MB
186	d4/27e4ee	54491	SAMBLASTER_FIXED (SRR24335748)	COMPLETED	0	2026-09-19 07:50:09.254	22s	21s	208.4%	23.5 MB	39.9 MB	2.5 GB	2.5 GB
159	15/f92cad	45088	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163231)	COMPLETED	0	2026-09-19 07:47:35.610	3m 59s	3m 57s	174.0%	4.7 MB	18.2 MB	5.6 GB	3.4 GB
158	e2/cc9d9c	56287	SAMBLASTER_FIXED (SRR10163231)	COMPLETED	0	2026-09-19 07:50:31.241	6m 31s	6m 30s	207.2%	172.7 MB	189.5 MB	44.8 GB	44.8 GB
136	29/984d07	75552	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR6326077)	COMPLETED	0	2026-09-19 07:57:02.675	8.3s	7s	191.1%	4.6 MB	18.2 MB	209.9 MB	124.1 MB
163	2e/5cc1d7	59758	SAMBLASTER_FIXED (SRR10163233)	COMPLETED	0	2026-09-19 07:51:34.637	6m 37s	6m 35s	207.3%	162.1 MB	178.7 MB	44.1 GB	44.1 GB
205	94/a6855e	79917	SAMBLASTER_FIXED (SRR24335772)	COMPLETED	0	2026-09-19 07:58:11.715	14.9s	14s	204.4%	15.4 MB	31.9 MB	1.7 GB	1.7 GB
140	4c/ee5b7c	81531	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR9968613)	COMPLETED	0	2026-09-19 07:58:26.578	22.5s	21s	185.0%	4.7 MB	18.2 MB	701.1 MB	351.4 MB
166	6d/5aca01	83106	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163235)	COMPLETED	0	2026-09-19 07:58:49.090	5m 6s	5m 5s	191.7%	4.7 MB	18.2 MB	7.7 GB	5.3 GB
155	dc/644df6	76467	SAMBLASTER_FIXED (SRR10163229)	COMPLETED	0	2026-09-19 07:57:11.018	8m 33s	8m 31s	208.3%	309.1 MB	326.8 MB	57.6 GB	57.6 GB
154	3d/97777b	100770	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163229)	COMPLETED	0	2026-09-19 08:05:44.086	5m	4m 58s	188.8%	4.7 MB	18.2 MB	7.7 GB	4.9 GB
143	12/13067b	114176	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR9968689)	COMPLETED	0	2026-09-19 08:10:43.815	22.1s	21s	181.3%	4.7 MB	18.2 MB	665.8 MB	317.3 MB
184	47/eb45ef	115931	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335747)	COMPLETED	0	2026-09-19 08:11:05.876	19.2s	18s	181.1%	4.7 MB	18.2 MB	577.4 MB	274.1 MB
134	9d/98eae2	117550	SAMBLASTER_FIXED (ERR6326076)	COMPLETED	0	2026-09-19 08:11:25.069	8.2s	7s	186.8%	11.4 MB	28 MB	702.2 MB	701.9 MB
174	71/bae6d5	118589	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163239)	COMPLETED	0	2026-09-19 08:11:33.323	4m 23s	4m 22s	181.7%	4.7 MB	18.2 MB	6.6 GB	4 GB
198	ad/3024f2	127553	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335769)	COMPLETED	0	2026-09-19 08:15:56.134	34.1s	33s	181.6%	4.7 MB	18.2 MB	1.2 GB	800.9 MB
240	9c/6c2fba	95375	SAMBLASTER_FIXED (CRR1082975)	COMPLETED	0	2026-09-19 08:03:55.515	21m 26s	21m 22s	209.7%	466.4 MB	482.7 MB	142.7 GB	142.7 GB
167	e8/b5fd0c	129115	SAMBLASTER_FIXED (SRR10163235)	COMPLETED	0	2026-09-19 08:16:30.213	8m 52s	8m 49s	205.7%	169.6 MB	186 MB	58.4 GB	58.4 GB
195	fa/befc67	14165	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335767)	COMPLETED	0	2026-09-19 08:25:21.780	12.8s	12s	175.7%	4.6 MB	18.2 MB	313.3 MB	178.3 MB
194	73/dcc626	14166	SAMBLASTER_FIXED (SRR24335767)	COMPLETED	0	2026-09-19 08:25:21.787	17.6s	17s	207.0%	23.8 MB	40.2 MB	2 GB	2 GB
189	65/ba1218	17220	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335752)	COMPLETED	0	2026-09-19 08:25:39.443	21.7s	21s	180.0%	4.7 MB	18.2 MB	669.3 MB	323.8 MB
251	c1/382451	19311	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889838)	COMPLETED	0	2026-09-19 08:26:01.172	7m 49s	7m 47s	161.8%	4.7 MB	18.2 MB	12 GB	3.6 GB
127	80/1f9f2a	37698	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830500)	COMPLETED	0	2026-09-19 08:33:50.216	3.2s	3s	185.5%	4.5 MB	18.2 MB	73.7 MB	34.5 MB
157	f6/42567e	38232	SAMBLASTER_FIXED (SRR10163230)	COMPLETED	0	2026-09-19 08:33:53.465	7m 53s	7m 51s	211.3%	317.3 MB	339.4 MB	50.9 GB	50.9 GB
250	44/e20114	16479	SAMBLASTER_FIXED (ERR10889838)	COMPLETED	0	2026-09-19 08:25:34.549	16m 26s	16m 24s	177.5%	111.8 MB	155.3 MB	91.4 GB	91.4 GB
201	85/1b48ba	52443	SAMBLASTER_FIXED (SRR24335770)	COMPLETED	0	2026-09-19 08:41:46.363	20.9s	19s	204.0%	23.6 MB	40.1 MB	2.3 GB	2.3 GB
192	22/32daa6	53766	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335766)	COMPLETED	0	2026-09-19 08:42:00.660	9.7s	9s	184.2%	4.6 MB	18.2 MB	241.2 MB	136.9 MB
200	24/03c354	54551	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335770)	COMPLETED	0	2026-09-19 08:42:07.287	14.3s	14s	195.3%	4.6 MB	18.2 MB	364.9 MB	218.8 MB
179	c5/472d23	55218	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335744)	COMPLETED	0	2026-09-19 08:42:10.413	21.9s	21s	196.5%	4.7 MB	18.2 MB	672.9 MB	328.7 MB
187	03/b2ea7a	58008	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335748)	COMPLETED	0	2026-09-19 08:42:32.316	15.7s	15s	195.1%	4.6 MB	18.2 MB	392.4 MB	242.8 MB
204	57/58b597	59352	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335772)	COMPLETED	0	2026-09-19 08:42:48.032	10s	9s	189.6%	4.6 MB	18.2 MB	252.8 MB	133.4 MB
193	e7/a6465a	60431	SAMBLASTER_FIXED (SRR24335766)	COMPLETED	0	2026-09-19 08:42:58.055	13.8s	13s	206.9%	15.2 MB	31.8 MB	1.6 GB	1.6 GB
191	e0/be22d5	62008	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335763)	COMPLETED	0	2026-09-19 08:43:11.889	8.6s	8s	190.7%	4.6 MB	18.2 MB	219.5 MB	115.4 MB
177	52/a8c318	62921	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335743)	COMPLETED	0	2026-09-19 08:43:20.486	9.6s	8s	191.2%	4.6 MB	18.2 MB	245 MB	130.1 MB
176	64/e252e1	63904	SAMBLASTER_FIXED (SRR24335743)	COMPLETED	0	2026-09-19 08:43:30.121	14.4s	14s	205.0%	15.4 MB	31.9 MB	1.6 GB	1.6 GB
211	03/0acaca	65375	SAMBLASTER_FIXED (SRR24335775)	COMPLETED	0	2026-09-19 08:43:44.526	40.2s	39s	189.2%	41.9 MB	58.4 MB	3.8 GB	3.8 GB
210	ea/0f0b41	67885	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335775)	COMPLETED	0	2026-09-19 08:44:24.749	22.7s	22s	198.2%	4.7 MB	18.2 MB	704.9 MB	358.5 MB
173	53/dac44b	56847	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR10163238)	COMPLETED	0	2026-09-19 08:42:21.590	5m 50s	5m 48s	195.3%	4.7 MB	18.2 MB	8.6 GB	6.3 GB
213	24/72e632	69531	SAMBLASTER_FIXED (ERR11535563)	COMPLETED	0	2026-09-19 08:44:47.453	4m 53s	4m 52s	200.5%	271.5 MB	288.6 MB	29.6 GB	29.6 GB
212	e5/f28137	78194	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR11535563)	COMPLETED	0	2026-09-19 08:48:11.634	2m 42s	2m 40s	189.8%	13.1 MB	28.3 MB	4.9 GB	3.1 GB
214	af/c13776	82429	SAMBLASTER_FIXED (ERR11535564)	COMPLETED	0	2026-09-19 08:49:40.651	6m 3s	6m 1s	206.6%	311.7 MB	328.8 MB	37.3 GB	37.3 GB
215	3f/4d13cd	101338	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR11535564)	COMPLETED	0	2026-09-19 08:55:43.958	3m 25s	3m 24s	194.8%	14.3 MB	28.3 MB	6.1 GB	4.1 GB
221	f5/aa284e	110366	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR3168885)	COMPLETED	0	2026-09-19 08:59:09.120	8m 48s	8m 45s	180.5%	4.8 MB	18.4 MB	16.5 GB	10.8 GB
218	a7/9df0a5	86093	SAMBLASTER_FIXED (ERR6004146)	COMPLETED	0	2026-09-19 08:50:53.287	22m 36s	22m 33s	199.1%	674.1 MB	690.4 MB	135.1 GB	135.1 GB
219	eb/49c9aa	123616	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR6004146)	COMPLETED	0	2026-09-19 09:07:57.277	12m 52s	12m 50s	186.3%	5.4 MB	19 MB	24.9 GB	14 GB
220	7d/960f4d	1033	SAMBLASTER_FIXED (CRR3168885)	COMPLETED	0	2026-09-19 09:13:29.005	17m 29s	17m 27s	192.8%	77.8 MB	101.9 MB	96.9 GB	96.9 GB
228	0a/5dcb82	16868	SAMBLASTER_FIXED (CRR3168889)	COMPLETED	0	2026-09-19 09:20:49.525	17m 41s	17m 37s	190.7%	80.8 MB	100.5 MB	96.8 GB	96.8 GB
206	56/8be650	65211	SAMBLASTER_FIXED (SRR24335773)	COMPLETED	0	2026-09-19 09:38:30.100	22.1s	21s	196.9%	24.8 MB	41.2 MB	2.5 GB	2.5 GB
207	32/a84abf	67251	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR24335773)	COMPLETED	0	2026-09-19 09:38:52.206	14.4s	14s	194.4%	4.6 MB	18.2 MB	390.1 MB	216 MB
237	2a/c3b337	68571	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR13922191)	COMPLETED	0	2026-09-19 09:39:06.639	7.7s	6s	176.2%	4.7 MB	18.4 MB	228.8 MB	90.3 MB
238	68/86c5ca	69559	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR13922192)	COMPLETED	0	2026-09-19 09:39:14.320	8.4s	8s	171.6%	4.7 MB	18.4 MB	245.6 MB	97.5 MB
229	ff/1d2610	41744	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR3168889)	COMPLETED	0	2026-09-19 09:30:58.270	8m 47s	8m 46s	182.6%	4.8 MB	18.4 MB	16.7 GB	11 GB
236	87/044b71	75409	SAMBLASTER_FIXED (SRR13922191)	COMPLETED	0	2026-09-19 09:39:45.168	11.8s	11s	195.6%	15.2 MB	31.5 MB	1.2 GB	1.2 GB
239	11/4206ab	77238	SAMBLASTER_FIXED (SRR13922192)	COMPLETED	0	2026-09-19 09:39:56.994	12.6s	12s	199.0%	16.7 MB	32.9 MB	1.2 GB	1.2 GB
217	ff/511b76	70977	SAMBLASTER_FIXED (ERR11535565)	COMPLETED	0	2026-09-19 09:39:22.751	6m 44s	6m 42s	197.9%	338.7 MB	355.6 MB	41 GB	41 GB
216	65/c60ee2	100858	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR11535565)	COMPLETED	0	2026-09-19 09:46:06.340	3m 53s	3m 53s	193.5%	13.1 MB	28.3 MB	6.7 GB	4.4 GB
241	50/62db2d	78826	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR1082975)	COMPLETED	0	2026-09-19 09:40:09.590	14m 19s	14m 15s	186.8%	4.8 MB	18.4 MB	24.1 GB	23.8 GB
