task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
266	f9/9b212a	20764	SAMBLASTER_FIXED (ERR10889853)	COMPLETED	0	2026-09-19 16:15:15.319	22m 20s	22m 13s	187.6%	382.2 MB	435.4 MB	126.7 GB	126.7 GB
269	86/e0fcff	45113	SAMBLASTER_FIXED (ERR10889854)	COMPLETED	0	2026-09-19 16:25:16.263	32m 10s	32m 6s	193.5%	397.9 MB	455.2 MB	180.8 GB	180.8 GB
275	01/79c8b0	70573	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389801)	COMPLETED	0	2026-09-19 16:37:35.653	33m 11s	33m 5s	188.3%	4.7 MB	18.2 MB	49.5 GB	37.9 GB
268	ad/5a6053	40495	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889854)	COMPLETED	0	2026-09-19 16:57:26.568	17m 14s	17m 10s	178.6%	4.7 MB	18.2 MB	31.4 GB	15.5 GB
274	52/d587eb	93509	SAMBLASTER_FIXED (ERR12389801)	COMPLETED	0	2026-09-19 17:10:46.790	43m 37s	43m 34s	219.2%	2.1 GB	2.2 GB	324.7 GB	324.6 GB
280	b1/555830	108811	SAMBLASTER_FIXED (ERR12389804)	COMPLETED	0	2026-09-19 17:14:40.103	45m 54s	45m 50s	213.7%	2.2 GB	2.3 GB	323.4 GB	323.4 GB
273	f8/f19485	101687	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389800)	COMPLETED	0	2026-09-19 18:00:33.747	34m 22s	34m 19s	189.6%	4.7 MB	18.2 MB	52.5 GB	40.3 GB
272	4c/d73f43	84047	SAMBLASTER_FIXED (ERR12389800)	COMPLETED	0	2026-09-19 17:54:23.936	46m 20s	46m 17s	219.2%	2.2 GB	2.2 GB	339.7 GB	339.6 GB
284	d8/efe959	77299	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389806)	COMPLETED	0	2026-09-19 18:40:43.764	39m 44s	39m 42s	188.9%	4.7 MB	18.2 MB	53.6 GB	40.9 GB
286	8a/e2c975	46721	BEDTOOLS_SPLITBAM2BED_FIXED (ERR1830500)	COMPLETED	0	2026-09-19 19:20:27.930	3.8s	3s	181.6%	4.5 MB	18.2 MB	73.7 MB	21.1 MB
285	23/7d51b7	54762	SAMBLASTER_FIXED (ERR12389806)	COMPLETED	0	2026-09-19 18:34:55.896	52m 42s	52m 39s	172.4%	2.3 GB	2.3 GB	344.4 GB	344.3 GB
287	a0/b2b9c9	67139	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389807)	COMPLETED	0	2026-09-19 19:27:38.286	40m 7s	40m 5s	191.0%	4.7 MB	18.2 MB	53.8 GB	41.5 GB
291	5e/a9323d	14444	SAMBLASTER_FIXED (ERR1830502)	COMPLETED	0	2026-09-19 20:07:45.759	24.4s	23s	183.1%	24.1 MB	40.6 MB	2.2 GB	2.2 GB
292	f8/7471e4	17243	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830502)	COMPLETED	0	2026-09-19 20:08:10.119	15.2s	14s	187.8%	4.6 MB	18.2 MB	431.9 MB	189.4 MB
288	3b/0550db	47196	SAMBLASTER_FIXED (ERR12389807)	COMPLETED	0	2026-09-19 19:20:31.748	52m 38s	52m 34s	156.6%	2.1 GB	2.1 GB	346.3 GB	346.3 GB
293	8f/c5474f	30777	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830503)	COMPLETED	0	2026-09-19 20:13:09.591	27.6s	26s	195.3%	4.7 MB	18.2 MB	812.7 MB	400.8 MB
294	15/a97d82	33044	SAMBLASTER_FIXED (ERR1830503)	COMPLETED	0	2026-09-19 20:13:37.240	51.1s	51s	132.3%	38.8 MB	55.3 MB	4.4 GB	4.4 GB
290	c2/1c7a7f	19229	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389808)	COMPLETED	0	2026-09-19 20:08:25.387	36m 20s	36m 18s	189.9%	4.7 MB	18.2 MB	51.6 GB	39.2 GB
300	09/85ae03	102587	SAMBLASTER_FIXED (ERR1830506)	COMPLETED	0	2026-09-19 20:44:44.985	30.6s	30s	194.8%	29.2 MB	45.5 MB	2.9 GB	2.9 GB
299	a8/c783e3	105012	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830506)	COMPLETED	0	2026-09-19 20:45:15.590	18.1s	17s	193.4%	4.7 MB	18.2 MB	574.8 MB	305.9 MB
302	21/d7bc1a	106570	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830507)	COMPLETED	0	2026-09-19 20:45:33.752	14.5s	13s	185.5%	4.7 MB	18.2 MB	404.1 MB	231.1 MB
304	a6/82bad6	108049	SAMBLASTER_FIXED (ERR1830508)	COMPLETED	0	2026-09-19 20:45:48.303	15.8s	15s	190.9%	17.5 MB	33.8 MB	1.4 GB	1.4 GB
303	82/889bd9	109724	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830508)	COMPLETED	0	2026-09-19 20:46:04.144	9.2s	8s	187.3%	4.6 MB	18.2 MB	264.2 MB	135.5 MB
310	af/e8ee68	110865	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR5051138)	COMPLETED	0	2026-09-19 20:46:13.376	7.3s	6s	182.0%	4.6 MB	18.2 MB	180.8 MB	104.3 MB
301	fd/0027ca	111695	SAMBLASTER_FIXED (ERR1830507)	COMPLETED	0	2026-09-19 20:46:20.748	23.6s	23s	195.5%	28.7 MB	45.1 MB	2.2 GB	2.2 GB
311	b4/37c9bf	113845	SAMBLASTER_FIXED (SRR5051139)	COMPLETED	0	2026-09-19 20:46:44.374	11.7s	11s	192.8%	15.3 MB	31.8 MB	1.1 GB	1.1 GB
309	9f/432c2e	115322	SAMBLASTER_FIXED (SRR5051138)	COMPLETED	0	2026-09-19 20:46:56.047	10.5s	10s	201.3%	13.2 MB	29.6 MB	1 GB	1 GB
312	ab/d64697	116764	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR5051139)	COMPLETED	0	2026-09-19 20:47:06.538	6.9s	6s	191.8%	4.6 MB	18.2 MB	188 MB	106.7 MB
289	cc/230db9	36774	SAMBLASTER_FIXED (ERR12389808)	COMPLETED	0	2026-09-19 20:14:28.399	46m 37s	46m 34s	202.8%	2.2 GB	2.2 GB	336.5 GB	336.4 GB
